split,clean_epoch_id,artifact_epoch_id,artifact_type,target_snr_db,dae_input,target
train,522,eog:522,blink,-5.0,dwt_wavelet_output,clean_eeg
train,409,eog:409,blink,-5.0,dwt_wavelet_output,clean_eeg
train,86,eog:86,blink,-5.0,dwt_wavelet_output,clean_eeg
train,441,eog:441,blink,-5.0,dwt_wavelet_output,clean_eeg
train,309,eog:309,blink,-5.0,dwt_wavelet_output,clean_eeg
train,514,eog:514,blink,-5.0,dwt_wavelet_output,clean_eeg
train,295,eog:295,blink,-5.0,dwt_wavelet_output,clean_eeg
train,324,eog:324,blink,-5.0,dwt_wavelet_output,clean_eeg
train,459,eog:459,blink,-5.0,dwt_wavelet_output,clean_eeg
train,325,eog:325,blink,-5.0,dwt_wavelet_output,clean_eeg
train,302,eog:302,blink,-5.0,dwt_wavelet_output,clean_eeg
train,225,eog:225,blink,-5.0,dwt_wavelet_output,clean_eeg
train,6,eog:6,blink,-5.0,dwt_wavelet_output,clean_eeg
train,354,eog:354,blink,-5.0,dwt_wavelet_output,clean_eeg
train,336,eog:336,blink,-5.0,dwt_wavelet_output,clean_eeg
train,213,eog:213,blink,-5.0,dwt_wavelet_output,clean_eeg
train,61,eog:61,blink,-5.0,dwt_wavelet_output,clean_eeg
train,202,eog:202,blink,-5.0,dwt_wavelet_output,clean_eeg
train,36,eog:36,blink,-5.0,dwt_wavelet_output,clean_eeg
train,523,eog:523,blink,-5.0,dwt_wavelet_output,clean_eeg
train,572,eog:572,blink,-5.0,dwt_wavelet_output,clean_eeg
train,271,eog:271,blink,-5.0,dwt_wavelet_output,clean_eeg
train,193,eog:193,blink,-5.0,dwt_wavelet_output,clean_eeg
train,179,eog:179,blink,-5.0,dwt_wavelet_output,clean_eeg
train,532,eog:532,blink,-5.0,dwt_wavelet_output,clean_eeg
train,533,eog:533,blink,-5.0,dwt_wavelet_output,clean_eeg
train,258,eog:258,blink,-5.0,dwt_wavelet_output,clean_eeg
train,159,eog:159,blink,-5.0,dwt_wavelet_output,clean_eeg
train,429,eog:429,blink,-5.0,dwt_wavelet_output,clean_eeg
train,145,eog:145,blink,-5.0,dwt_wavelet_output,clean_eeg
train,29,eog:29,blink,-5.0,dwt_wavelet_output,clean_eeg
train,51,eog:51,blink,-5.0,dwt_wavelet_output,clean_eeg
train,413,eog:413,blink,-5.0,dwt_wavelet_output,clean_eeg
train,391,eog:391,blink,-5.0,dwt_wavelet_output,clean_eeg
train,408,eog:408,blink,-5.0,dwt_wavelet_output,clean_eeg
train,91,eog:91,blink,-5.0,dwt_wavelet_output,clean_eeg
train,55,eog:55,blink,-5.0,dwt_wavelet_output,clean_eeg
train,305,eog:305,blink,-5.0,dwt_wavelet_output,clean_eeg
train,156,eog:156,blink,-5.0,dwt_wavelet_output,clean_eeg
train,140,eog:140,blink,-5.0,dwt_wavelet_output,clean_eeg
train,100,eog:100,blink,-5.0,dwt_wavelet_output,clean_eeg
train,124,eog:124,blink,-5.0,dwt_wavelet_output,clean_eeg
train,530,eog:530,blink,-5.0,dwt_wavelet_output,clean_eeg
train,565,eog:565,blink,-5.0,dwt_wavelet_output,clean_eeg
train,20,eog:20,blink,-5.0,dwt_wavelet_output,clean_eeg
train,231,eog:231,blink,-5.0,dwt_wavelet_output,clean_eeg
train,115,eog:115,blink,-5.0,dwt_wavelet_output,clean_eeg
train,71,eog:71,blink,-5.0,dwt_wavelet_output,clean_eeg
train,171,eog:171,blink,-5.0,dwt_wavelet_output,clean_eeg
train,243,eog:243,blink,-5.0,dwt_wavelet_output,clean_eeg
train,346,eog:346,blink,-5.0,dwt_wavelet_output,clean_eeg
train,411,eog:411,blink,-5.0,dwt_wavelet_output,clean_eeg
train,512,eog:512,blink,-5.0,dwt_wavelet_output,clean_eeg
train,261,eog:261,blink,-5.0,dwt_wavelet_output,clean_eeg
train,151,eog:151,blink,-5.0,dwt_wavelet_output,clean_eeg
train,433,eog:433,blink,-5.0,dwt_wavelet_output,clean_eeg
train,135,eog:135,blink,-5.0,dwt_wavelet_output,clean_eeg
train,224,eog:224,blink,-5.0,dwt_wavelet_output,clean_eeg
train,315,eog:315,blink,-5.0,dwt_wavelet_output,clean_eeg
train,426,eog:426,blink,-5.0,dwt_wavelet_output,clean_eeg
train,245,eog:245,blink,-5.0,dwt_wavelet_output,clean_eeg
train,569,eog:569,blink,-5.0,dwt_wavelet_output,clean_eeg
train,180,eog:180,blink,-5.0,dwt_wavelet_output,clean_eeg
train,404,eog:404,blink,-5.0,dwt_wavelet_output,clean_eeg
train,168,eog:168,blink,-5.0,dwt_wavelet_output,clean_eeg
train,144,eog:144,blink,-5.0,dwt_wavelet_output,clean_eeg
train,395,eog:395,blink,-5.0,dwt_wavelet_output,clean_eeg
train,509,eog:509,blink,-5.0,dwt_wavelet_output,clean_eeg
train,560,eog:560,blink,-5.0,dwt_wavelet_output,clean_eeg
train,527,eog:527,blink,-5.0,dwt_wavelet_output,clean_eeg
train,595,eog:595,blink,-5.0,dwt_wavelet_output,clean_eeg
train,241,eog:241,blink,-5.0,dwt_wavelet_output,clean_eeg
train,282,eog:282,blink,-5.0,dwt_wavelet_output,clean_eeg
train,343,eog:343,blink,-5.0,dwt_wavelet_output,clean_eeg
train,150,eog:150,blink,-5.0,dwt_wavelet_output,clean_eeg
train,164,eog:164,blink,-5.0,dwt_wavelet_output,clean_eeg
train,152,eog:152,blink,-5.0,dwt_wavelet_output,clean_eeg
train,116,eog:116,blink,-5.0,dwt_wavelet_output,clean_eeg
train,30,eog:30,blink,-5.0,dwt_wavelet_output,clean_eeg
train,590,eog:590,blink,-5.0,dwt_wavelet_output,clean_eeg
train,40,eog:40,blink,-5.0,dwt_wavelet_output,clean_eeg
train,253,eog:253,blink,-5.0,dwt_wavelet_output,clean_eeg
train,559,eog:559,blink,-5.0,dwt_wavelet_output,clean_eeg
train,587,eog:587,blink,-5.0,dwt_wavelet_output,clean_eeg
train,399,eog:399,blink,-5.0,dwt_wavelet_output,clean_eeg
train,278,eog:278,blink,-5.0,dwt_wavelet_output,clean_eeg
train,259,eog:259,blink,-5.0,dwt_wavelet_output,clean_eeg
train,220,eog:220,blink,-5.0,dwt_wavelet_output,clean_eeg
train,45,eog:45,blink,-5.0,dwt_wavelet_output,clean_eeg
train,35,eog:35,blink,-5.0,dwt_wavelet_output,clean_eeg
train,493,eog:493,blink,-5.0,dwt_wavelet_output,clean_eeg
train,96,eog:96,blink,-5.0,dwt_wavelet_output,clean_eeg
train,351,eog:351,blink,-5.0,dwt_wavelet_output,clean_eeg
train,234,eog:234,blink,-5.0,dwt_wavelet_output,clean_eeg
train,269,eog:269,blink,-5.0,dwt_wavelet_output,clean_eeg
train,60,eog:60,blink,-5.0,dwt_wavelet_output,clean_eeg
train,132,eog:132,blink,-5.0,dwt_wavelet_output,clean_eeg
train,578,eog:578,blink,-5.0,dwt_wavelet_output,clean_eeg
train,468,eog:468,blink,-5.0,dwt_wavelet_output,clean_eeg
train,586,eog:586,blink,-5.0,dwt_wavelet_output,clean_eeg
train,98,eog:98,blink,-5.0,dwt_wavelet_output,clean_eeg
train,439,eog:439,blink,-5.0,dwt_wavelet_output,clean_eeg
train,521,eog:521,blink,-5.0,dwt_wavelet_output,clean_eeg
train,424,eog:424,blink,-5.0,dwt_wavelet_output,clean_eeg
train,446,eog:446,blink,-5.0,dwt_wavelet_output,clean_eeg
train,524,eog:524,blink,-5.0,dwt_wavelet_output,clean_eeg
train,570,eog:570,blink,-5.0,dwt_wavelet_output,clean_eeg
train,131,eog:131,blink,-5.0,dwt_wavelet_output,clean_eeg
train,46,eog:46,blink,-5.0,dwt_wavelet_output,clean_eeg
train,478,eog:478,blink,-5.0,dwt_wavelet_output,clean_eeg
train,77,eog:77,blink,-5.0,dwt_wavelet_output,clean_eeg
train,312,eog:312,blink,-5.0,dwt_wavelet_output,clean_eeg
train,138,eog:138,blink,-5.0,dwt_wavelet_output,clean_eeg
train,120,eog:120,blink,-5.0,dwt_wavelet_output,clean_eeg
train,293,eog:293,blink,-5.0,dwt_wavelet_output,clean_eeg
train,482,eog:482,blink,-5.0,dwt_wavelet_output,clean_eeg
train,192,eog:192,blink,-5.0,dwt_wavelet_output,clean_eeg
train,412,eog:412,blink,-5.0,dwt_wavelet_output,clean_eeg
train,582,eog:582,blink,-5.0,dwt_wavelet_output,clean_eeg
train,185,eog:185,blink,-5.0,dwt_wavelet_output,clean_eeg
train,147,eog:147,blink,-5.0,dwt_wavelet_output,clean_eeg
train,428,eog:428,blink,-5.0,dwt_wavelet_output,clean_eeg
train,83,eog:83,blink,-5.0,dwt_wavelet_output,clean_eeg
train,53,eog:53,blink,-5.0,dwt_wavelet_output,clean_eeg
train,367,eog:367,blink,-5.0,dwt_wavelet_output,clean_eeg
train,435,eog:435,blink,-5.0,dwt_wavelet_output,clean_eeg
train,510,eog:510,blink,-5.0,dwt_wavelet_output,clean_eeg
train,107,eog:107,blink,-5.0,dwt_wavelet_output,clean_eeg
train,38,eog:38,blink,-5.0,dwt_wavelet_output,clean_eeg
train,438,eog:438,blink,-5.0,dwt_wavelet_output,clean_eeg
train,80,eog:80,blink,-5.0,dwt_wavelet_output,clean_eeg
train,393,eog:393,blink,-5.0,dwt_wavelet_output,clean_eeg
train,176,eog:176,blink,-5.0,dwt_wavelet_output,clean_eeg
